source,target,relation,title,date,url
event:employment,asset:stocks,NEUTRAL_IMPACT,Mid-Day Update: Stocks Mixed as Investors Digest Employment Data,2011-10-07 00:00:00 UTC,https://www.nasdaq.com/articles/mid-day-update-stocks-mixed-investors-digest-employment-data-2011-10-07
event:employment,asset:stocks,NEUTRAL_IMPACT,Wall St logs sharp losses as labor market strength stokes rate-hike fears,2023-07-06 00:00:00 UTC,https://www.nasdaq.com/articles/wall-st-logs-sharp-losses-as-labor-market-strength-stokes-rate-hike-fears
event:employment,asset:stocks,NEUTRAL_IMPACT,"US STOCKS-Wall St eyes record open on strong jobs report, Pfizer COVID-19 pill cheer",2021-11-05 00:00:00 UTC,https://www.nasdaq.com/articles/us-stocks-wall-st-eyes-record-open-on-strong-jobs-report-pfizer-covid-19-pill-cheer-2021
event:employment,asset:stocks,NEUTRAL_IMPACT,US STOCKS-Wall St rises on stimulus bets as labor market rebound cools,2020-10-01 00:00:00 UTC,https://www.nasdaq.com/articles/us-stocks-wall-st-rises-on-stimulus-bets-as-labor-market-rebound-cools-2020-10-01-0
event:employment,asset:stocks,NEUTRAL_IMPACT,Wall Street rises on stimulus bets as labor market rebound cools,2020-10-01 00:00:00 UTC,https://www.nasdaq.com/articles/wall-street-rises-on-stimulus-bets-as-labor-market-rebound-cools-2020-10-01
event:employment,asset:stocks,NEUTRAL_IMPACT,Wall Street jumps on surprise improvement in labor market,2020-06-05 00:00:00 UTC,https://www.nasdaq.com/articles/wall-street-jumps-on-surprise-improvement-in-labor-market-2020-06-05
event:employment,asset:stocks,NEUTRAL_IMPACT,"Wall St jumps, Nasdaq set for record closing high after surprise jobs report",2020-06-05 00:00:00 UTC,https://www.nasdaq.com/articles/wall-st-jumps-nasdaq-set-for-record-closing-high-after-surprise-jobs-report-2020-06-05
event:employment,asset:stocks,NEUTRAL_IMPACT,"Stocks Little Changed Before the Open as Bond Yields Stabilize, U.S. ADP Jobs Report in Focus",2023-10-04 00:00:00 UTC,https://www.nasdaq.com/articles/stocks-little-changed-before-the-open-as-bond-yields-stabilize-u.s.-adp-jobs-report-in
event:employment,asset:stocks,NEUTRAL_IMPACT,Stocks Tread Water Before the Open as U.S. ADP Jobs Report Looms,2023-10-04 00:00:00 UTC,https://www.nasdaq.com/articles/stocks-tread-water-before-the-open-as-u.s.-adp-jobs-report-looms
event:employment,asset:stocks,NEUTRAL_IMPACT,Stocks Little Changed Before the Open as U.S. ADP Jobs Report Looms,2023-10-04 00:00:00 UTC,https://www.nasdaq.com/articles/stocks-little-changed-before-the-open-as-u.s.-adp-jobs-report-looms
event:employment,asset:stocks,NEUTRAL_IMPACT,GLOBAL MARKETS-Wall St extends gains on slowing but strong US labor market,2023-08-04 00:00:00 UTC,https://www.nasdaq.com/articles/global-markets-wall-st-extends-gains-on-slowing-but-strong-us-labor-market-0
event:employment,asset:stocks,NEUTRAL_IMPACT,"US Stocks futures inch up ahead of more megacap earnings, employment data",2023-07-31 00:00:00 UTC,https://www.nasdaq.com/articles/us-stocks-futures-inch-up-ahead-of-more-megacap-earnings-employment-data
event:employment,asset:stocks,NEUTRAL_IMPACT,"Unemployment Data, Social Media Happenings, and Stocks to Watch",2023-07-10 00:00:00 UTC,https://www.nasdaq.com/articles/unemployment-data-social-media-happenings-and-stocks-to-watch
event:employment,asset:stocks,NEUTRAL_IMPACT,"US STOCKS-S&P 500 barely gains ahead of Powell testimony, jobs report",2023-03-06 00:00:00 UTC,https://www.nasdaq.com/articles/us-stocks-sp-500-barely-gains-ahead-of-powell-testimony-jobs-report
event:employment,asset:stocks,NEUTRAL_IMPACT,US STOCKS-Wall St pares declines after stunning jobs report,2023-02-03 00:00:00 UTC,https://www.nasdaq.com/articles/us-stocks-wall-st-pares-declines-after-stunning-jobs-report
event:employment,asset:stocks,NEUTRAL_IMPACT,US STOCKS-Wall St subdued as signs of tight labor market fuel rate hike fears,2023-01-04 00:00:00 UTC,https://www.nasdaq.com/articles/us-stocks-wall-st-subdued-as-signs-of-tight-labor-market-fuel-rate-hike-fears
event:employment,asset:stocks,NEUTRAL_IMPACT,US STOCKS-Wall Street falls as jobs report keeps Fed on hike path,2022-12-02 00:00:00 UTC,https://www.nasdaq.com/articles/us-stocks-wall-street-falls-as-jobs-report-keeps-fed-on-hike-path
event:employment,asset:stocks,NEUTRAL_IMPACT,US STOCKS-Wall St slips as labor market data dims Fed deceleration hopes,2022-11-01 00:00:00 UTC,https://www.nasdaq.com/articles/us-stocks-wall-st-slips-as-labor-market-data-dims-fed-deceleration-hopes
event:employment,asset:stocks,NEUTRAL_IMPACT,US STOCKS-Wall Street climbs after jobs report rekindles hopes of smaller rate hikes,2022-09-02 00:00:00 UTC,https://www.nasdaq.com/articles/us-stocks-wall-street-climbs-after-jobs-report-rekindles-hopes-of-smaller-rate-hikes
event:employment,asset:stocks,NEUTRAL_IMPACT,US STOCKS-Wall Street rises after mixed August jobs report,2022-09-02 00:00:00 UTC,https://www.nasdaq.com/articles/us-stocks-wall-street-rises-after-mixed-august-jobs-report
event:employment,asset:stocks,NEUTRAL_IMPACT,Stocks Mixed at Mid-Session After Employment Data Disappoints; Corporate Earnings Continue,2011-02-04 00:00:00 UTC,https://www.nasdaq.com/articles/stocks-mixed-mid-session-after-employment-data-disappoints-corporate-earnings-continue
event:employment,asset:stocks,NEUTRAL_IMPACT,Australian shares inch up; local employment data in focus,2023-12-11 00:00:00 UTC,https://www.nasdaq.com/articles/australian-shares-inch-up-local-employment-data-in-focus
event:employment,asset:stocks,NEUTRAL_IMPACT,US STOCKS-S&P 500 flat as investors weigh fresh employment data,2023-12-06 00:00:00 UTC,https://www.nasdaq.com/articles/us-stocks-sp-500-flat-as-investors-weigh-fresh-employment-data
event:employment,asset:stocks,NEUTRAL_IMPACT,US STOCKS-Wall St rises as soft employment data supports rate cut bets,2023-12-06 00:00:00 UTC,https://www.nasdaq.com/articles/us-stocks-wall-st-rises-as-soft-employment-data-supports-rate-cut-bets
event:employment,asset:stocks,NEUTRAL_IMPACT,4 Best Staffing Stocks to Buy on Blockbuster Jobs Report,2017-12-11 00:00:00 UTC,https://www.nasdaq.com/articles/4-best-staffing-stocks-buy-blockbuster-jobs-report-2017-12-11
event:employment,asset:stocks,NEUTRAL_IMPACT,Another Strong Labor Market Read - Ahead of Wall Street,2015-01-07 00:00:00 UTC,https://www.nasdaq.com/articles/another-strong-labor-market-read-ahead-wall-street-2015-01-07
